price,freight_value,payment_type,payment_value,customer_state,mes_compra
14.9,8.29,credit_card,23.19,SP,6
14.9,7.39,boleto,22.29,SP,4
19.9,7.78,credit_card,27.68,SP,2
14.9,8.29,boleto,23.19,SP,7
14.9,15.23,boleto,30.13,DF,4
14.9,22.85,debit_card,37.75,PI,4
14.9,7.39,debit_card,22.29,SP,8
19.9,15.23,credit_card,35.13,DF,3
14.9,15.23,credit_card,60.26,RJ,5
14.9,15.23,credit_card,60.26,RJ,5
14.9,7.39,voucher,22.29,SP,5
14.9,22.06,credit_card,36.96,MT,6
14.9,17.06,voucher,31.96,BA,6
14.9,18.23,boleto,33.13,RS,5
14.9,7.39,credit_card,22.29,SP,8
14.9,8.29,boleto,23.19,SP,6
14.9,15.23,credit_card,30.13,MG,6
14.9,15.23,credit_card,30.13,MG,5
14.9,7.39,boleto,22.29,SP,4
14.9,15.23,credit_card,30.13,RJ,3
14.9,7.39,boleto,22.29,SP,8
19.9,7.78,credit_card,27.68,SP,1
19.9,15.1,credit_card,35.0,MG,1
14.9,15.23,credit_card,30.13,PR,7
14.9,12.79,credit_card,27.69,SP,7
14.9,7.39,credit_card,22.29,SP,7
14.9,15.23,boleto,30.13,ES,3
19.9,7.78,credit_card,27.68,SP,2
14.9,8.29,boleto,23.19,SP,6
19.9,34.15,voucher,4.05,PI,1
19.9,34.15,voucher,50.0,PI,1
19.9,7.78,boleto,27.68,SP,1
14.9,15.23,credit_card,30.13,MG,8
14.9,15.23,credit_card,30.13,ES,4
14.9,15.23,boleto,30.13,DF,8
14.9,7.39,boleto,22.29,SP,8
14.9,22.06,boleto,36.96,MT,7
14.9,18.23,credit_card,66.26,RJ,8
14.9,18.23,credit_card,66.26,RJ,8
17.9,15.23,credit_card,33.13,GO,6
19.9,18.23,credit_card,38.13,SC,3
17.9,15.23,credit_card,66.26,RS,5
17.9,15.23,credit_card,66.26,RS,5
17.9,7.39,credit_card,25.29,SP,5
17.9,19.04,credit_card,36.94,CE,7
19.9,7.78,credit_card,27.68,SP,2
19.9,7.78,credit_card,27.68,SP,2
19.9,15.1,credit_card,35.0,PR,1
17.9,19.04,boleto,36.94,PE,3
17.9,15.23,credit_card,66.26,RJ,5
17.9,15.23,credit_card,66.26,RJ,5
17.9,15.23,credit_card,8.13,RJ,5
17.9,15.23,voucher,25.0,RJ,5
17.9,15.23,credit_card,33.13,PR,5
169.9,18.77,credit_card,188.67,GO,5
169.9,19.36,credit_card,189.26,SP,8
169.9,27.74,credit_card,395.28,PI,4
169.9,27.74,credit_card,395.28,PI,4
169.9,22.99,boleto,192.89,SP,7
169.9,25.27,credit_card,195.17,SP,7
79.9,9.37,credit_card,89.27,SP,1
89.9,13.53,credit_card,103.43,SP,5
79.9,16.32,credit_card,96.22,MG,1
19.9,16.79,credit_card,36.69,BA,1
19.9,7.78,credit_card,27.68,SP,2
19.9,7.78,credit_card,27.68,SP,1
24.9,17.97,boleto,42.87,GO,7
24.9,11.19,boleto,36.09,SP,8
24.9,16.45,boleto,117.79,SP,8
59.99,16.45,boleto,117.79,SP,8
24.9,19.99,credit_card,44.89,MG,8
24.9,8.29,voucher,2.7,SP,5
24.9,8.29,voucher,30.49,SP,5
24.9,8.29,voucher,3.75,SP,3
24.9,8.29,voucher,1.85,SP,3
24.9,8.29,voucher,19.76,SP,3
24.9,8.29,voucher,7.83,SP,3
79.9,15.66,credit_card,95.56,RS,8
159.9,19.42,credit_card,179.32,SP,1
5.9,18.23,boleto,24.13,MG,6
5.9,7.39,credit_card,53.16,SP,8
5.9,7.39,credit_card,53.16,SP,8
5.9,7.39,credit_card,53.16,SP,8
5.9,7.39,credit_card,53.16,SP,8
19.9,7.4,debit_card,27.3,SP,8
99.9,17.41,credit_card,117.31,SP,1
79.9,16.81,credit_card,96.71,RJ,1
34.9,8.99,debit_card,43.89,SP,6
34.9,13.71,boleto,48.61,SP,5
33.9,15.11,credit_card,49.01,RS,1
33.9,16.11,credit_card,25.03,RJ,1
33.9,16.11,voucher,24.98,RJ,1
19.9,14.1,credit_card,34.0,MG,2
19.9,7.39,credit_card,27.29,SP,4
19.9,18.23,credit_card,38.13,MG,4
19.9,37.04,boleto,56.94,TO,3
19.9,7.11,credit_card,125.44,SP,1
35.0,14.22,credit_card,125.44,SP,1
35.0,14.22,credit_card,125.44,SP,1
19.9,17.63,boleto,37.53,PE,1
19.9,17.63,credit_card,37.53,PE,2
79.9,13.11,credit_card,93.01,SP,1
79.9,13.11,credit_card,8.15,SP,2
79.9,13.11,voucher,84.86,SP,2
24.9,17.1,boleto,42.0,BA,8
69.9,9.24,credit_card,79.14,SP,8
24.9,19.04,credit_card,43.94,CE,4
14.9,7.39,credit_card,22.29,SP,5
229.9,59.69,credit_card,289.59,RJ,6
159.9,19.42,credit_card,179.32,SP,2
59.9,18.3,credit_card,78.2,MG,4
19.9,12.91,credit_card,124.72,SP,4
79.0,12.91,credit_card,124.72,SP,4
14.9,22.06,credit_card,36.96,BA,5
14.9,7.39,credit_card,22.29,SP,8
19.9,7.39,credit_card,27.29,SP,4
139.9,17.17,credit_card,157.07,PR,6
59.9,18.57,credit_card,78.47,BA,6
19.9,15.1,debit_card,35.0,RS,1
89.9,7.49,credit_card,97.39,SP,3
810.0,70.75,credit_card,880.75,SP,7
145.95,11.65,credit_card,157.6,SP,3
128.9,9.26,credit_card,138.16,SP,3
128.9,9.72,credit_card,138.62,SP,3
128.9,23.83,credit_card,152.73,BA,3
109.0,9.58,credit_card,118.58,SP,2
185.85,12.51,credit_card,198.36,SP,1
201.34,25.96,credit_card,227.3,RN,2
201.34,12.61,credit_card,213.95,SP,1
179.9,16.02,credit_card,195.92,GO,1
124.0,18.45,credit_card,142.45,GO,5
227.17,17.78,credit_card,244.95,DF,7
227.17,10.34,credit_card,237.51,SP,7
132.0,23.5,credit_card,311.0,MG,5
132.0,23.5,credit_card,311.0,MG,5
85.05,16.85,credit_card,101.9,RS,2
99.0,16.88,credit_card,115.88,MG,7
99.0,13.71,credit_card,112.71,SP,2
65.0,18.03,credit_card,83.03,RJ,4
82.95,13.02,boleto,95.97,SP,3
82.95,8.35,voucher,91.3,SP,3
82.95,23.08,credit_card,106.03,PI,3
55.92,11.73,credit_card,67.65,SP,1
55.92,11.15,voucher,45.1,SP,5
55.92,11.15,credit_card,21.97,SP,5
99.0,11.66,credit_card,110.66,DF,5
123.88,13.01,credit_card,136.89,SP,3
133.0,18.51,credit_card,151.51,RJ,3
133.0,43.21,credit_card,176.21,PE,6
133.0,11.95,boleto,144.95,SP,8
96.35,13.97,credit_card,110.32,SP,7
239.5,15.99,credit_card,255.49,SP,8
123.4,18.11,credit_card,141.51,SC,2
599.0,15.4,credit_card,614.4,SP,2
49.9,11.15,credit_card,61.05,SP,5
131.25,17.17,credit_card,148.42,PR,1
52.74,14.46,credit_card,67.2,SP,3
56.0,11.15,credit_card,67.15,SP,5
190.0,28.06,credit_card,218.06,MT,3
79.0,16.74,voucher,95.52,RS,6
79.0,16.74,credit_card,0.22,RS,6
26.14,11.73,voucher,70.84,SP,2
26.14,11.73,credit_card,4.9,SP,2
26.14,11.73,voucher,70.84,SP,2
26.14,11.73,credit_card,4.9,SP,2
106.0,11.37,credit_card,117.37,SP,5
106.0,23.32,credit_card,129.32,PR,4
106.0,11.37,credit_card,117.37,SP,4
112.83,9.14,boleto,121.97,SP,6
29.42,11.15,credit_card,40.57,SP,4
151.72,28.01,credit_card,179.73,BA,8
179.0,9.41,credit_card,188.41,SP,8
126.52,11.51,credit_card,138.03,SP,4
92.97,23.45,credit_card,116.42,GO,8
78.0,11.17,credit_card,178.34,SP,3
78.0,11.17,credit_card,178.34,SP,3
166.0,15.25,credit_card,181.25,SP,5
493.0,18.21,credit_card,511.21,SP,1
160.0,15.21,credit_card,175.21,SP,3
99.0,23.84,credit_card,122.84,MT,7
368.9,15.6,credit_card,384.5,PR,1
99.0,23.27,credit_card,122.27,MG,4
99.0,17.94,boleto,116.94,ES,2
99.0,20.18,credit_card,119.18,ES,2
183.0,12.49,credit_card,195.49,SP,3
103.95,15.04,credit_card,118.99,SP,8
58.0,11.43,debit_card,69.43,SP,7
59.0,15.17,credit_card,74.17,MG,2
74.0,8.88,credit_card,82.88,SP,3
232.32,19.87,credit_card,252.19,BA,1
149.62,18.63,credit_card,168.25,RJ,4
126.94,11.91,credit_card,138.85,SP,8
96.49,11.3,credit_card,107.79,SP,3
91.99,16.61,credit_card,108.6,MG,3
33.8,19.59,credit_card,53.39,BA,3
277.72,12.57,credit_card,290.29,SP,5
52.39,13.08,credit_card,65.47,SP,1
151.72,23.34,credit_card,175.06,PA,7
144.0,15.1,boleto,159.1,SP,5
185.6,10.11,boleto,195.71,SP,2
253.57,38.69,credit_card,292.26,PE,8
829.0,14.62,credit_card,843.62,SP,1
120.0,18.09,credit_card,276.18,SC,3
120.0,18.09,credit_card,276.18,SC,3
733.95,25.54,credit_card,759.49,PE,2
139.34,12.0,credit_card,151.34,SP,8
52.99,25.65,credit_card,78.64,CE,1
102.28,13.27,credit_card,115.55,SP,1
125.0,20.07,credit_card,145.07,MG,8
99.0,13.99,credit_card,112.99,SP,6
57.0,13.42,credit_card,70.42,SP,1
53.99,11.4,credit_card,65.39,SP,7
53.99,9.13,boleto,63.12,SP,7
53.99,9.13,debit_card,63.12,SP,7
103.99,31.6,boleto,135.59,MT,6
37.5,16.32,credit_card,53.82,RJ,4
37.5,16.45,credit_card,53.95,RJ,7
37.5,16.45,credit_card,53.95,RJ,8
37.5,9.01,credit_card,46.51,SP,8
57.49,11.15,boleto,68.64,SP,5
57.89,10.29,credit_card,68.18,SP,5
57.89,22.99,boleto,80.88,RS,5
57.89,11.15,credit_card,69.04,SP,5
57.89,11.43,credit_card,69.32,SP,7
57.49,11.15,boleto,68.64,SP,5
57.49,11.15,credit_card,68.64,SP,5
57.89,14.5,credit_card,72.39,SP,5
57.89,16.32,credit_card,74.21,SC,5
57.89,56.96,credit_card,114.85,MA,5
57.89,11.15,credit_card,69.04,SP,5
57.89,10.29,boleto,136.36,MG,5
57.89,10.29,boleto,136.36,MG,5
57.89,12.77,credit_card,70.66,RS,5
57.89,10.29,boleto,68.18,SP,5
57.89,11.43,boleto,69.32,SP,6
57.89,12.77,boleto,70.66,PR,5
57.89,16.32,credit_card,74.21,MG,5
57.89,14.5,credit_card,72.39,SP,5
57.89,12.77,credit_card,70.66,ES,5
57.89,19.38,boleto,77.27,MG,5
57.89,17.99,credit_card,75.88,ES,5
57.89,11.15,credit_card,69.04,SP,5
57.89,10.29,credit_card,68.18,MG,5
57.89,9.16,debit_card,67.05,SP,6
57.89,12.77,credit_card,70.66,ES,5
57.89,23.21,credit_card,81.1,MG,6
57.89,11.15,boleto,69.04,SP,5
57.89,23.21,boleto,81.1,SC,7
57.89,17.99,boleto,75.88,RJ,5
57.49,17.98,credit_card,75.47,RJ,4
57.49,11.15,credit_card,68.64,SP,4
57.49,22.46,credit_card,79.95,PE,4
57.89,12.77,credit_card,70.66,MG,5
57.89,11.15,credit_card,69.04,SP,5
57.89,11.15,credit_card,69.04,SP,5
57.49,11.15,credit_card,68.64,SP,4
57.89,16.78,credit_card,126.45,MG,6
35.0,16.78,credit_card,126.45,MG,6
57.89,11.15,credit_card,69.04,SP,5
57.89,19.38,boleto,77.27,MG,5
57.89,12.77,boleto,70.66,RJ,5
57.89,22.99,boleto,80.88,MG,5
57.89,11.15,credit_card,69.04,SP,5
83.99,11.21,boleto,95.2,SP,5
83.99,18.17,boleto,102.16,RJ,5
83.99,12.89,credit_card,96.88,SP,7
83.99,18.17,voucher,20.0,DF,5
83.99,18.17,voucher,2.16,DF,5
83.99,18.17,voucher,20.0,DF,5
83.99,18.17,voucher,20.0,DF,5
83.99,18.17,voucher,20.0,DF,5
83.99,18.17,voucher,20.0,DF,5
83.99,23.17,credit_card,107.16,MG,5
68.99,11.5,credit_card,80.49,SP,8
68.99,11.5,boleto,80.49,SP,6
93.99,11.68,boleto,105.67,SP,8
93.99,23.46,credit_card,117.45,RS,7
93.99,23.46,credit_card,117.45,MG,7
93.99,23.46,credit_card,117.45,PR,7
93.99,11.68,credit_card,105.67,SP,8
93.99,11.68,credit_card,105.67,SP,7
51.49,8.88,boleto,60.37,SP,5
76.99,15.55,credit_card,92.54,BA,4
76.99,23.34,boleto,100.33,RJ,6
48.99,19.53,credit_card,68.52,MG,7
88.99,18.2,credit_card,107.19,PR,6
108.99,13.06,credit_card,122.05,SP,7
108.99,24.63,credit_card,133.62,BA,6
108.99,27.2,credit_card,136.19,PA,6
193.99,14.66,credit_card,208.65,SP,8
91.99,11.27,credit_card,103.26,SP,5
88.99,23.42,credit_card,112.41,MG,8
201.99,14.32,credit_card,216.31,SP,5
58.99,14.72,credit_card,73.71,SP,7
58.99,11.43,credit_card,70.42,SP,8
58.99,13.99,boleto,72.98,SP,6
111.99,11.41,boleto,123.4,SP,5
111.99,18.36,credit_card,130.35,MG,5
58.99,11.43,credit_card,70.42,SP,7
98.99,14.78,credit_card,113.77,SP,5
103.99,22.03,credit_card,126.02,ES,7
121.99,22.15,boleto,144.14,RS,7
59.99,8.88,credit_card,68.87,SP,3
59.99,16.39,credit_card,76.38,RJ,4
59.99,8.88,credit_card,68.87,SP,3
59.99,3.03,boleto,246.24,SP,6
159.9,23.32,boleto,246.24,SP,6
59.99,18.0,credit_card,77.99,RJ,5
59.99,9.34,credit_card,69.33,SP,2
59.99,11.44,credit_card,71.43,SP,6
59.99,8.88,credit_card,68.87,SP,4
59.99,8.88,credit_card,68.87,SP,4
59.99,8.88,credit_card,68.87,SP,4
59.99,26.96,credit_card,86.95,PE,2
59.99,8.88,credit_card,68.87,SP,4
59.99,8.88,credit_card,68.87,SP,4
59.99,19.39,boleto,158.76,ES,4
59.99,19.39,boleto,158.76,ES,4
59.99,11.15,credit_card,71.14,SP,6
59.99,15.18,boleto,75.17,MG,1
59.99,9.34,credit_card,9.33,SP,1
59.99,9.34,voucher,20.0,SP,1
59.99,9.34,voucher,20.0,SP,1
59.99,9.34,voucher,20.0,SP,1
59.99,8.88,credit_card,68.87,SP,4
59.99,26.97,credit_card,86.96,AM,6
59.99,16.39,credit_card,76.38,PR,3
59.99,11.44,credit_card,71.43,SP,6
59.99,12.76,credit_card,72.75,MG,1
59.99,8.88,credit_card,137.74,SP,5
59.99,8.88,credit_card,137.74,SP,5
59.99,23.22,credit_card,83.21,ES,6
59.99,9.34,credit_card,69.33,SP,2
59.99,23.22,credit_card,83.21,MG,6
59.99,8.88,credit_card,68.87,SP,3
59.99,12.76,voucher,72.75,SP,1
59.99,8.88,credit_card,68.87,SP,5
59.99,16.18,credit_card,152.34,ES,1
59.99,16.18,credit_card,152.34,ES,1
59.99,23.35,credit_card,83.34,MT,4
59.99,16.18,credit_card,76.17,MG,2
59.99,16.39,credit_card,76.38,RJ,3
59.99,9.34,credit_card,69.33,SP,1
59.99,11.44,boleto,71.43,SP,6
59.99,15.18,credit_card,75.17,ES,1
59.99,18.35,boleto,78.34,MT,3
59.99,8.88,credit_card,68.87,SP,3
59.99,16.39,boleto,76.38,PR,3
59.99,13.78,credit_card,73.77,SP,3
59.99,18.0,boleto,77.99,MG,6
7.0,7.39,boleto,14.39,SP,3
7.0,7.39,credit_card,71.95,SP,3
7.0,7.39,credit_card,71.95,SP,3
7.0,7.39,credit_card,71.95,SP,3
7.0,7.39,credit_card,71.95,SP,3
7.0,7.39,credit_card,71.95,SP,3
7.0,7.78,boleto,14.78,SP,1
7.0,15.23,voucher,7.83,PR,3
7.0,15.23,voucher,14.4,PR,3
5.0,7.39,voucher,12.39,SP,5
79.99,15.32,boleto,95.31,RJ,2
79.99,19.1,credit_card,99.09,CE,2
79.99,18.17,credit_card,98.16,MG,3
79.99,22.88,credit_card,102.87,RN,1
79.99,15.38,credit_card,95.37,MG,4
79.99,9.37,credit_card,178.72,SP,2
79.99,9.37,credit_card,178.72,SP,2
79.99,18.13,credit_card,98.12,MT,2
79.99,16.32,credit_card,96.31,GO,2
79.99,12.95,credit_card,92.94,SP,4
79.99,35.88,credit_card,115.87,RN,2
79.99,12.9,boleto,92.89,SP,1
79.99,9.37,boleto,89.36,SP,2
79.99,9.37,credit_card,89.36,SP,2
84.99,27.13,boleto,112.12,PA,1
79.99,17.2,credit_card,97.19,BA,4
79.99,10.12,credit_card,90.11,SP,3
79.99,8.91,credit_card,88.9,SP,3
84.99,9.41,credit_card,94.4,SP,1
79.99,9.37,credit_card,89.36,SP,2
79.99,19.53,boleto,99.52,MG,3
79.99,8.91,credit_card,88.9,SP,3
79.99,9.37,credit_card,89.36,SP,2
79.99,18.17,boleto,98.16,SC,3
79.99,15.38,credit_card,95.37,MG,4
79.99,8.91,credit_card,88.9,SP,3
79.99,12.95,credit_card,92.94,SP,4
79.99,15.38,credit_card,95.37,MG,4
84.99,15.35,credit_card,100.34,DF,1
84.99,19.13,credit_card,104.12,CE,1
79.99,13.56,boleto,138.68,SP,3
37.0,8.13,boleto,138.68,SP,3
79.99,27.1,credit_card,107.09,CE,3
79.99,18.17,credit_card,98.16,MG,4
79.99,13.67,boleto,93.66,ES,4
44.99,7.39,credit_card,52.38,SP,5
53.99,15.13,credit_card,69.12,MG,2
53.99,14.13,credit_card,68.12,RJ,2
53.99,22.09,credit_card,76.08,BA,3
53.99,18.26,voucher,20.0,MG,3
53.99,18.26,voucher,20.0,MG,3
53.99,18.26,voucher,12.25,MG,3
53.99,18.26,voucher,20.0,MG,3
44.99,15.23,credit_card,60.22,DF,4
53.99,15.13,credit_card,69.12,SC,1
53.99,18.26,credit_card,72.25,PR,3
53.99,7.78,credit_card,61.77,SP,3
44.99,7.39,credit_card,52.38,SP,4
53.99,11.88,boleto,65.87,SP,1
44.99,12.98,boleto,57.97,SP,8
44.99,18.23,credit_card,63.22,MG,4
53.99,15.13,credit_card,69.12,SC,2
44.99,7.58,credit_card,52.57,SP,8
53.99,15.13,boleto,69.12,MG,1
44.99,18.23,credit_card,63.22,MG,6
53.99,18.26,voucher,72.25,MG,3
44.99,15.42,voucher,60.41,MG,8
53.99,21.18,credit_card,75.17,AL,1
53.99,21.18,credit_card,75.17,AL,1
53.99,18.26,credit_card,72.25,MG,4
44.99,12.79,voucher,57.78,SP,4
44.99,7.58,credit_card,210.28,SP,7
44.99,7.58,credit_card,210.28,SP,7
44.99,7.58,credit_card,210.28,SP,7
44.99,7.58,credit_card,210.28,SP,7
44.99,15.23,credit_card,60.22,MG,6
53.99,15.13,credit_card,69.12,MS,1
53.99,7.78,credit_card,61.77,SP,1
53.99,15.26,voucher,6.67,GO,3
53.99,15.26,voucher,6.67,GO,3
53.99,15.26,voucher,23.91,GO,3
53.99,15.26,voucher,6.66,GO,3
53.99,15.26,voucher,9.56,GO,3
53.99,15.26,voucher,9.11,GO,3
53.99,15.26,voucher,6.67,GO,3
53.99,15.82,credit_card,69.81,MT,1
53.99,11.88,boleto,65.87,SP,2
44.99,7.58,credit_card,52.57,SP,7
44.99,12.79,voucher,51.89,SP,5
44.99,12.79,voucher,5.89,SP,5
44.99,19.23,credit_card,64.22,PA,7
53.99,15.13,boleto,69.12,MG,2
44.99,12.44,voucher,80.44,SP,7
44.99,12.44,credit_card,29.72,SP,7
49.99,2.74,voucher,80.44,SP,7
49.99,2.74,credit_card,29.72,SP,7
53.99,7.78,credit_card,61.77,SP,1
53.99,14.13,boleto,68.12,RS,1
44.99,19.23,credit_card,64.22,CE,7
53.99,7.78,credit_card,61.77,SP,2
53.99,7.78,credit_card,61.77,SP,1
44.99,23.04,credit_card,68.03,AM,7
44.99,15.42,credit_card,60.41,RJ,6
53.99,15.26,credit_card,69.25,GO,3
53.99,12.82,credit_card,66.81,SP,3
53.99,7.78,credit_card,61.77,SP,2
53.99,11.88,credit_card,65.87,SP,2
53.99,7.78,credit_card,61.77,SP,2
53.99,11.88,boleto,65.87,SP,1
44.99,7.58,credit_card,52.57,SP,6
53.99,15.13,credit_card,69.12,PR,2
53.99,11.88,credit_card,21.85,SP,1
53.99,11.88,voucher,44.02,SP,1
53.99,15.13,boleto,69.12,MG,1
44.99,7.39,credit_card,0.28,SP,4
44.99,7.39,voucher,52.1,SP,4
89.99,16.39,credit_card,106.38,MG,1
89.99,16.39,credit_card,106.38,RS,1
89.99,16.39,credit_card,106.38,RS,1
79.99,15.38,boleto,95.37,RJ,4
89.99,27.17,credit_card,117.16,CE,2
79.99,8.91,credit_card,88.9,SP,4
79.99,8.72,credit_card,88.71,SP,6
89.99,16.39,boleto,106.38,MG,1
89.99,12.97,credit_card,102.96,SP,3
79.99,13.16,credit_card,93.15,BA,5
79.99,8.72,credit_card,88.71,SP,6
79.99,15.52,credit_card,120.28,SP,5
23.99,0.78,credit_card,120.28,SP,5
89.99,16.39,credit_card,106.38,MG,2
79.99,13.16,voucher,1.53,BA,5
79.99,13.16,voucher,38.17,BA,5
79.99,13.16,voucher,38.17,BA,5
79.99,13.16,voucher,2.54,BA,5
