,price,freight_value,payment_type,payment_value,order_purchase_timestamp,customer_state,mes_compra,ano_compra,dia_compra
402,31.5,14.52,boleto,46.02,2017-01-19 20:45:08,SP,1,2017,19
404,79.9,15.77,voucher,6.82,2017-03-11 18:34:44,SP,3,2017,11
405,79.9,15.77,voucher,6.49,2017-03-11 18:34:44,SP,3,2017,11
406,79.9,15.77,credit_card,38.58,2017-03-11 18:34:44,SP,3,2017,11
407,79.9,15.77,voucher,3.41,2017-03-11 18:34:44,SP,3,2017,11
408,79.9,15.77,voucher,13.79,2017-03-11 18:34:44,SP,3,2017,11
409,79.9,15.77,voucher,5.71,2017-03-11 18:34:44,SP,3,2017,11
410,79.9,15.77,voucher,3.78,2017-03-11 18:34:44,SP,3,2017,11
411,79.9,15.77,voucher,2.16,2017-03-11 18:34:44,SP,3,2017,11
412,79.9,15.77,voucher,6.88,2017-03-11 18:34:44,SP,3,2017,11
413,79.9,15.77,voucher,3.72,2017-03-11 18:34:44,SP,3,2017,11
414,79.9,15.77,voucher,4.33,2017-03-11 18:34:44,SP,3,2017,11
415,79.9,16.32,credit_card,96.22,2017-07-05 22:44:25,SP,7,2017,5
416,87.9,17.87,credit_card,105.77,2017-05-30 15:43:46,SP,5,2017,30
418,63.5,16.2,boleto,159.4,2017-08-01 19:11:35,SP,8,2017,1
419,63.5,16.2,boleto,159.4,2017-08-01 19:11:35,SP,8,2017,1
421,45.49,16.11,credit_card,61.6,2017-08-07 18:52:22,SP,8,2017,7
423,21.9,12.69,credit_card,34.59,2017-06-08 16:47:22,SP,6,2017,8
429,59.9,12.76,credit_card,72.66,2017-07-11 11:28:45,SP,7,2017,11
430,59.9,18.0,voucher,28.71,2017-05-21 13:26:10,SP,5,2017,21
431,59.9,18.0,voucher,12.78,2017-05-21 13:26:10,SP,5,2017,21
432,59.9,18.0,voucher,36.41,2017-05-21 13:26:10,SP,5,2017,21
434,59.9,12.76,voucher,72.66,2017-07-19 12:11:51,SP,7,2017,19
440,39.9,13.37,credit_card,53.27,2017-09-13 20:54:34,SP,9,2017,13
442,79.9,13.58,boleto,93.48,2017-09-02 16:57:50,SP,9,2017,2
445,62.75,13.46,credit_card,76.21,2017-09-18 21:51:46,SP,9,2017,18
446,67.9,9.94,credit_card,77.84,2017-12-08 12:12:23,SP,12,2017,8
447,72.9,13.53,credit_card,86.43,2017-08-27 14:24:29,SP,8,2017,27
448,39.9,12.69,boleto,52.59,2017-10-02 21:37:12,SP,10,2017,2
449,19.9,11.85,credit_card,31.75,2017-12-10 11:53:48,SP,12,2017,10
452,16.9,7.78,credit_card,24.68,2017-11-16 21:28:00,SP,11,2017,16
453,16.9,7.78,voucher,24.68,2017-11-30 01:51:23,SP,11,2017,30
454,19.9,7.78,credit_card,27.68,2017-10-26 06:25:01,SP,10,2017,26
458,19.9,7.78,boleto,27.68,2017-10-04 13:20:09,SP,10,2017,4
466,19.9,7.78,credit_card,27.68,2017-11-10 11:00:27,SP,11,2017,10
470,19.9,7.78,credit_card,27.68,2017-12-15 21:26:00,SP,12,2017,15
472,19.9,7.78,credit_card,27.68,2017-10-21 19:37:10,SP,10,2017,21
477,19.9,11.85,credit_card,31.75,2017-12-17 15:38:02,SP,12,2017,17
478,19.9,7.78,credit_card,27.68,2017-10-17 21:21:20,SP,10,2017,17
479,19.9,11.85,credit_card,31.75,2017-11-29 09:31:55,SP,11,2017,29
485,19.9,11.85,boleto,31.75,2017-10-19 11:07:06,SP,10,2017,19
490,19.9,7.78,credit_card,27.68,2017-12-17 09:57:06,SP,12,2017,17
493,19.9,7.78,credit_card,27.68,2017-09-26 16:35:42,SP,9,2017,26
494,19.9,7.78,boleto,27.68,2017-10-10 12:39:41,SP,10,2017,10
495,19.9,7.78,boleto,27.68,2017-10-24 20:14:53,SP,10,2017,24
496,19.9,7.78,debit_card,27.68,2017-10-16 14:18:43,SP,10,2017,16
566,118.9,8.09,credit_card,126.99,2017-11-19 20:02:05,SP,11,2017,19
575,79.9,12.06,boleto,91.96,2017-09-30 03:55:27,SP,9,2017,30
577,79.9,9.37,credit_card,89.27,2017-12-13 19:56:25,SP,12,2017,13
580,14.9,7.78,boleto,22.68,2017-11-25 10:31:33,SP,11,2017,25
581,19.9,7.78,boleto,27.68,2017-11-29 09:19:33,SP,11,2017,29
591,139.9,9.79,boleto,149.69,2017-10-17 12:02:37,SP,10,2017,17
601,9.9,8.72,credit_card,18.62,2017-12-16 19:11:24,SP,12,2017,16
607,159.9,19.42,credit_card,179.32,2017-11-28 21:32:32,SP,11,2017,28
612,19.9,9.34,credit_card,110.72,2017-12-10 18:34:12,SP,12,2017,10
613,19.9,9.34,credit_card,110.72,2017-12-10 18:34:12,SP,12,2017,10
614,19.9,9.34,credit_card,110.72,2017-12-10 18:34:12,SP,12,2017,10
615,19.9,3.11,credit_card,110.72,2017-12-10 18:34:12,SP,12,2017,10
616,14.9,7.78,credit_card,22.68,2017-11-24 14:43:03,SP,11,2017,24
628,99.9,14.3,credit_card,114.2,2017-12-09 00:38:37,SP,12,2017,9
633,39.9,8.72,credit_card,48.62,2017-10-05 11:26:37,SP,10,2017,5
640,19.9,7.78,debit_card,27.68,2017-09-27 15:39:40,SP,9,2017,27
643,19.9,11.85,credit_card,31.75,2017-12-23 18:48:11,SP,12,2017,23
646,38.9,11.85,voucher,29.9,2017-09-13 21:40:12,SP,9,2017,13
647,38.9,11.85,voucher,20.85,2017-09-13 21:40:12,SP,9,2017,13
658,49.9,7.78,credit_card,57.68,2017-11-23 19:09:19,SP,11,2017,23
662,69.9,16.12,credit_card,86.02,2017-10-06 11:49:47,SP,10,2017,6
665,119.9,9.03,credit_card,257.86,2017-12-13 12:55:38,SP,12,2017,13
666,119.9,9.03,credit_card,257.86,2017-12-13 12:55:38,SP,12,2017,13
674,15.9,7.78,credit_card,23.68,2017-11-23 09:13:22,SP,11,2017,23
676,29.9,11.85,credit_card,41.75,2017-11-25 17:44:35,SP,11,2017,25
677,89.9,9.44,credit_card,99.34,2017-10-02 14:16:46,SP,10,2017,2
678,89.9,11.83,boleto,101.73,2017-11-27 13:25:08,SP,11,2017,27
682,159.9,19.42,credit_card,179.32,2017-12-26 16:22:21,SP,12,2017,26
688,24.9,7.78,credit_card,32.68,2017-11-01 00:12:34,SP,11,2017,1
689,49.9,7.78,boleto,57.68,2017-12-19 20:35:32,SP,12,2017,19
691,19.9,7.78,voucher,10.26,2017-10-01 08:57:03,SP,10,2017,1
692,19.9,7.78,voucher,7.15,2017-10-01 08:57:03,SP,10,2017,1
693,19.9,7.78,voucher,10.27,2017-10-01 08:57:03,SP,10,2017,1
695,79.9,7.81,boleto,87.71,2017-12-09 07:46:57,SP,12,2017,9
697,19.9,11.85,credit_card,31.75,2017-10-16 21:27:35,SP,10,2017,16
711,36.85,11.74,boleto,48.59,2017-01-31 16:59:03,SP,1,2017,31
716,36.85,49.72,credit_card,320.15,2017-02-22 14:26:31,SP,2,2017,22
717,81.56,0.14,credit_card,320.15,2017-02-22 14:26:31,SP,2,2017,22
718,151.74,0.14,credit_card,320.15,2017-02-22 14:26:31,SP,2,2017,22
719,76.49,9.53,credit_card,86.02,2017-03-09 21:17:43,SP,3,2017,9
720,76.49,11.93,credit_card,88.42,2017-03-23 23:26:04,SP,3,2017,23
730,179.9,13.6,credit_card,193.5,2017-07-14 15:24:39,SP,7,2017,14
731,179.9,10.07,credit_card,189.97,2017-12-10 16:30:50,SP,12,2017,10
736,99.9,9.51,credit_card,109.41,2017-05-06 21:55:41,SP,5,2017,6
738,99.9,12.09,boleto,111.99,2017-05-01 08:59:52,SP,5,2017,1
739,26.14,9.39,credit_card,108.27,2017-02-19 18:40:29,SP,2,2017,19
740,63.36,9.38,credit_card,108.27,2017-02-19 18:40:29,SP,2,2017,19
741,26.14,9.36,credit_card,126.43,2017-05-14 11:05:08,SP,5,2017,14
742,81.56,9.37,credit_card,126.43,2017-05-14 11:05:08,SP,5,2017,14
746,31.5,7.78,credit_card,39.28,2017-09-02 12:24:01,SP,9,2017,2
758,67.0,11.73,credit_card,78.73,2017-12-03 10:24:02,SP,12,2017,3
782,29.89,9.34,credit_card,39.23,2017-03-23 23:58:10,SP,3,2017,23
783,39.9,9.34,credit_card,49.24,2017-08-22 11:03:51,SP,8,2017,22
785,96.35,13.69,credit_card,110.04,2017-10-03 20:18:01,SP,10,2017,3
791,29.32,11.74,credit_card,41.06,2017-05-03 15:54:31,SP,5,2017,3
793,151.74,10.05,credit_card,161.79,2017-04-19 22:15:27,SP,4,2017,19
797,190.0,14.35,credit_card,172.55,2017-09-28 15:55:37,SP,9,2017,28
798,190.0,14.35,voucher,31.8,2017-09-28 15:55:37,SP,9,2017,28
799,190.0,12.53,boleto,202.53,2017-10-19 17:02:53,SP,10,2017,19
808,196.36,13.71,credit_card,210.07,2017-08-30 14:19:37,SP,8,2017,30
814,57.17,9.39,credit_card,66.56,2017-05-04 07:21:32,SP,5,2017,4
817,59.41,9.41,credit_card,137.64,2017-03-27 09:51:42,SP,3,2017,27
818,59.41,9.41,credit_card,137.64,2017-03-27 09:51:42,SP,3,2017,27
819,230.98,12.82,boleto,243.8,2017-11-28 12:00:16,SP,11,2017,28
838,131.25,13.94,credit_card,290.38,2017-09-01 10:33:16,SP,9,2017,1
839,131.25,13.94,credit_card,290.38,2017-09-01 10:33:16,SP,9,2017,1
842,80.25,14.33,credit_card,94.58,2017-03-28 21:45:33,SP,3,2017,28
844,74.67,11.73,credit_card,86.4,2017-10-11 17:15:54,SP,10,2017,11
847,369.0,13.79,credit_card,382.79,2017-11-24 10:32:10,SP,11,2017,24
857,59.0,9.34,boleto,68.34,2017-07-07 11:39:44,SP,7,2017,7
875,84.52,11.8,boleto,192.64,2017-11-08 22:49:54,SP,11,2017,8
876,84.52,11.8,boleto,192.64,2017-11-08 22:49:54,SP,11,2017,8
879,155.29,12.29,credit_card,167.58,2017-11-27 15:54:16,SP,11,2017,27
1014,49.99,8.72,boleto,117.42,2017-07-16 19:03:15,SP,7,2017,16
1015,49.99,8.72,boleto,117.42,2017-07-16 19:03:15,SP,7,2017,16
1019,49.99,11.85,boleto,61.84,2017-07-28 10:11:53,SP,7,2017,28
1038,59.99,9.34,credit_card,69.33,2017-11-24 19:05:35,SP,11,2017,24
1041,59.99,9.34,boleto,69.33,2017-12-23 10:07:49,SP,12,2017,23
1044,49.99,8.72,boleto,58.71,2017-07-21 13:25:48,SP,7,2017,21
1046,59.99,9.34,credit_card,69.33,2017-09-30 15:04:50,SP,9,2017,30
1053,7.0,11.85,boleto,18.85,2017-06-10 17:06:01,SP,6,2017,10
1059,7.0,7.78,credit_card,29.56,2017-09-25 12:31:37,SP,9,2017,25
1060,7.0,7.78,credit_card,29.56,2017-09-25 12:31:37,SP,9,2017,25
1061,7.0,7.78,credit_card,14.78,2017-07-31 23:07:04,SP,7,2017,31
1076,7.0,7.78,voucher,14.78,2017-05-18 14:57:13,SP,5,2017,18
1077,7.0,7.78,credit_card,14.78,2017-09-30 20:52:51,SP,9,2017,30
1078,7.0,7.78,credit_card,14.78,2017-07-05 08:49:13,SP,7,2017,5
1085,84.99,9.41,credit_card,94.4,2017-12-17 22:56:12,SP,12,2017,17
1092,84.99,12.09,credit_card,97.08,2017-07-14 20:06:12,SP,7,2017,14
1097,84.99,7.85,credit_card,92.84,2017-05-21 07:58:04,SP,5,2017,21
1101,84.99,9.41,credit_card,44.4,2017-10-24 21:38:09,SP,10,2017,24
1102,84.99,9.41,voucher,50.0,2017-10-24 21:38:09,SP,10,2017,24
1116,84.99,12.93,credit_card,97.92,2017-11-20 12:47:40,SP,11,2017,20
1119,84.99,8.79,credit_card,93.78,2017-07-11 20:58:08,SP,7,2017,11
1128,84.99,9.41,credit_card,94.4,2017-11-03 16:49:37,SP,11,2017,3
1130,84.99,9.41,credit_card,94.4,2017-12-01 11:19:08,SP,12,2017,1
1131,84.99,12.93,boleto,97.92,2017-12-14 17:41:12,SP,12,2017,14
1135,84.99,9.41,credit_card,94.4,2017-10-22 22:07:31,SP,10,2017,22
1139,84.99,9.41,credit_card,94.4,2017-11-24 10:12:09,SP,11,2017,24
1145,84.99,12.09,credit_card,97.08,2017-08-14 20:09:08,SP,8,2017,14
1149,84.99,8.79,credit_card,93.78,2017-06-23 11:35:41,SP,6,2017,23
1154,84.99,7.85,credit_card,92.84,2017-05-23 13:21:19,SP,5,2017,23
1168,84.99,8.79,credit_card,93.78,2017-09-26 11:46:53,SP,9,2017,26
1179,53.99,7.78,credit_card,61.77,2017-12-10 18:07:24,SP,12,2017,10
1198,53.99,7.78,credit_card,123.54,2017-11-24 12:18:52,SP,11,2017,24
1199,53.99,7.78,credit_card,123.54,2017-11-24 12:18:52,SP,11,2017,24
1207,53.99,7.78,boleto,61.77,2017-11-22 11:31:44,SP,11,2017,22
1208,53.99,11.88,boleto,65.87,2017-11-28 16:49:25,SP,11,2017,28
1215,53.99,7.78,credit_card,61.77,2017-11-28 21:58:05,SP,11,2017,28
1216,53.99,7.78,credit_card,61.77,2017-11-24 08:55:16,SP,11,2017,24
1217,53.99,7.78,credit_card,61.77,2017-12-06 09:57:58,SP,12,2017,6
1233,53.99,7.78,credit_card,61.77,2017-12-29 00:08:37,SP,12,2017,29
1261,53.99,7.78,debit_card,61.77,2017-11-16 17:42:41,SP,11,2017,16
1263,53.99,7.78,boleto,61.77,2017-12-07 13:10:48,SP,12,2017,7
1268,53.99,7.78,credit_card,61.77,2017-12-09 23:03:45,SP,12,2017,9
1271,53.99,11.88,credit_card,65.87,2017-12-16 09:48:58,SP,12,2017,16
1272,53.99,7.78,credit_card,61.77,2017-11-24 23:41:58,SP,11,2017,24
1284,89.99,7.88,boleto,97.87,2017-08-08 21:04:16,SP,8,2017,8
1287,89.99,9.44,credit_card,99.43,2017-12-07 21:32:35,SP,12,2017,7
1291,89.99,12.97,credit_card,102.96,2017-10-15 16:32:38,SP,10,2017,15
1301,89.99,12.13,credit_card,102.12,2017-08-14 11:04:23,SP,8,2017,14
1302,89.99,12.13,credit_card,102.12,2017-08-14 11:04:23,SP,8,2017,14
1306,89.99,7.88,credit_card,97.87,2017-07-16 22:28:30,SP,7,2017,16
1307,89.99,7.88,boleto,97.87,2017-09-08 15:32:40,SP,9,2017,8
1308,89.99,7.88,credit_card,97.87,2017-08-31 17:01:23,SP,8,2017,31
1313,89.99,7.88,boleto,97.87,2017-09-09 08:41:10,SP,9,2017,9
1314,89.99,7.88,boleto,97.87,2017-09-09 08:41:10,SP,9,2017,9
1321,89.99,12.13,credit_card,102.12,2017-06-13 20:14:49,SP,6,2017,13
1327,89.99,7.88,boleto,97.87,2017-06-30 11:03:46,SP,6,2017,30
1339,89.99,9.44,credit_card,99.43,2017-10-29 15:26:18,SP,10,2017,29
1344,89.99,7.88,credit_card,97.87,2017-07-14 00:00:34,SP,7,2017,14
1347,89.99,9.44,credit_card,99.43,2017-10-08 16:45:51,SP,10,2017,8
1358,89.99,11.24,credit_card,101.23,2017-03-14 12:57:50,SP,3,2017,14
1364,89.99,12.13,boleto,102.12,2017-09-06 21:52:21,SP,9,2017,6
1370,89.99,7.88,credit_card,97.87,2017-07-10 13:33:18,SP,7,2017,10
1386,89.99,9.44,boleto,99.43,2017-12-14 15:16:50,SP,12,2017,14
1389,89.99,7.88,voucher,97.87,2017-06-19 09:15:45,SP,6,2017,19
1394,89.99,7.88,credit_card,97.87,2017-07-06 11:50:39,SP,7,2017,6
1396,89.99,7.88,credit_card,97.87,2017-06-21 16:40:23,SP,6,2017,21
1410,89.99,7.88,boleto,97.87,2017-07-05 18:01:56,SP,7,2017,5
1412,89.99,7.88,boleto,97.87,2017-05-16 12:17:10,SP,5,2017,16
1417,89.99,7.88,boleto,97.87,2017-08-01 13:45:24,SP,8,2017,1
1423,89.99,9.44,credit_card,99.43,2017-12-13 14:40:20,SP,12,2017,13
1424,89.99,9.44,credit_card,99.43,2017-12-13 14:40:20,SP,12,2017,13
1428,89.99,12.13,credit_card,102.12,2017-06-25 00:08:22,SP,6,2017,25
1431,89.99,11.24,credit_card,101.23,2017-03-14 08:21:33,SP,3,2017,14
1436,89.99,7.88,credit_card,97.87,2017-07-28 01:17:03,SP,7,2017,28
1439,89.99,9.44,credit_card,99.43,2017-10-20 21:51:01,SP,10,2017,20
1456,89.99,9.44,credit_card,99.43,2017-12-19 11:42:16,SP,12,2017,19
1467,89.99,9.44,credit_card,99.43,2017-09-27 14:59:05,SP,9,2017,27
1476,89.99,9.44,credit_card,99.43,2017-11-17 19:48:19,SP,11,2017,17
1486,89.99,7.88,credit_card,97.87,2017-08-16 20:53:13,SP,8,2017,16
1488,89.99,9.44,credit_card,99.43,2017-12-19 11:25:01,SP,12,2017,19
1489,89.99,12.97,credit_card,102.96,2017-11-24 15:44:35,SP,11,2017,24
1490,89.99,9.44,credit_card,99.43,2017-11-24 14:22:59,SP,11,2017,24
1500,89.99,12.13,credit_card,102.12,2017-08-09 10:22:04,SP,8,2017,9
1507,89.99,12.97,credit_card,102.96,2017-12-16 10:04:39,SP,12,2017,16
1508,89.99,9.44,credit_card,99.43,2017-11-02 21:14:31,SP,11,2017,2
1510,89.99,11.24,credit_card,101.23,2017-03-17 20:34:53,SP,3,2017,17
1515,89.99,9.44,credit_card,99.43,2017-12-01 14:16:20,SP,12,2017,1
1520,89.99,9.44,credit_card,99.43,2017-09-27 22:10:10,SP,9,2017,27
1523,89.99,7.88,credit_card,97.87,2017-07-19 19:37:19,SP,7,2017,19
1527,89.99,9.44,credit_card,99.43,2017-11-07 22:51:12,SP,11,2017,7
1536,89.99,9.44,credit_card,99.43,2017-10-05 01:00:37,SP,10,2017,5
1543,89.99,9.44,credit_card,99.43,2017-10-23 18:37:24,SP,10,2017,23
1544,89.99,12.97,boleto,102.96,2017-11-24 19:29:33,SP,11,2017,24
1548,89.99,7.88,credit_card,97.87,2017-07-26 09:20:33,SP,7,2017,26
1550,89.99,10.96,credit_card,100.95,2017-05-05 18:54:54,SP,5,2017,5
1551,89.99,9.44,credit_card,99.43,2017-11-29 04:09:01,SP,11,2017,29
1557,89.99,7.88,credit_card,97.87,2017-09-18 12:46:24,SP,9,2017,18
1560,89.99,7.88,credit_card,97.87,2017-07-20 16:09:05,SP,7,2017,20
1565,64.99,11.95,credit_card,76.94,2017-05-31 20:13:40,SP,5,2017,31
1566,58.99,11.73,credit_card,70.72,2017-08-17 00:16:05,SP,8,2017,17
1568,58.99,11.73,boleto,70.72,2017-09-26 12:48:14,SP,9,2017,26
1582,58.99,11.73,credit_card,70.72,2017-11-09 12:26:19,SP,11,2017,9
1588,64.99,15.54,boleto,107.0,2017-02-23 16:55:51,SP,2,2017,23
1589,19.99,6.48,boleto,107.0,2017-02-23 16:55:51,SP,2,2017,23
1598,58.99,11.73,credit_card,70.72,2017-10-03 19:29:06,SP,10,2017,3
1603,59.99,7.78,credit_card,67.77,2017-06-02 11:33:10,SP,6,2017,2
1605,58.99,11.73,credit_card,70.72,2017-10-05 20:07:05,SP,10,2017,5
1606,59.99,7.78,boleto,67.77,2017-06-11 08:42:30,SP,6,2017,11
1607,58.99,13.43,credit_card,72.42,2017-10-09 14:35:36,SP,10,2017,9
1609,58.99,13.43,credit_card,72.42,2017-11-08 15:52:49,SP,11,2017,8
1611,54.99,11.73,credit_card,7.74,2017-06-29 17:20:54,SP,6,2017,29
1612,54.99,11.73,voucher,58.98,2017-06-29 17:20:54,SP,6,2017,29
